canonical_path,extension,size_bytes,line_count,py_functions,py_classes,import_in_repo_count,import_external_count,contains_phase,contains_memory,contains_reduction,contains_truth,contains_holonomy,contains_tau,contains_registry,contains_constraint,contains_potential,contains_orchestrator
CANONICAL_BUILD_MANIFEST.md,.md,3004,80,0,0,0,0,1,1,0,0,0,0,1,1,0,0
CIEL_MEMORY_SYSTEM/BRAID/ledger/braid_ledger.jsonl,.jsonl,1009,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CIEL_MEMORY_SYSTEM/TSM/ledger/memory_ledger.db,.db,12288,20,0,0,0,0,1,1,0,0,0,0,0,0,0,0
CIEL_MEMORY_SYSTEM/WPM/wave_snapshots/wave_archive.h5,.h5,58832,22,0,0,0,0,1,1,0,0,0,0,1,0,0,0
DATA_LAYER_POLICY.md,.md,2066,43,0,0,0,0,0,1,0,0,0,0,1,0,0,0
MERGE_MANIFEST.md,.md,846,20,0,0,0,0,1,1,0,0,0,0,0,0,0,1
README.md,.md,8018,304,0,0,0,0,1,1,0,0,1,1,1,1,1,1
ciel_omega/CIEL_MEMORY_SYSTEM/TSM/ledger/memory_ledger.db,.db,12288,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciel_omega/HOW_AI_WORKS_WITH_CIEL.md,.md,14292,290,0,0,0,0,0,1,0,0,0,0,0,1,0,1
ciel_omega/LICENSE,,5137,86,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ciel_omega/MEMORY_SECTOR_MANIFEST.md,.md,1030,34,0,0,0,0,0,1,0,0,1,0,1,0,1,1
ciel_omega/README.md,.md,4463,178,0,0,0,0,1,1,1,0,0,0,0,1,0,1
ciel_omega/README_old.md,.md,8921,176,0,0,0,0,0,1,0,0,0,0,1,1,1,1
ciel_omega/__init__.py,.py,424,14,0,0,3,1,0,0,0,0,0,0,0,0,0,1
ciel_omega/__pycache__/__init__.cpython-312.pyc,.pyc,651,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ciel_omega/__pycache__/__init__.cpython-313.pyc,.pyc,637,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ciel_omega/__pycache__/bootstrap_runtime.cpython-312.pyc,.pyc,1459,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ciel_omega/__pycache__/bootstrap_runtime.cpython-313.pyc,.pyc,1442,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ciel_omega/__pycache__/ciel_client.cpython-312.pyc,.pyc,10233,96,0,0,0,0,1,0,0,0,0,0,1,1,0,1
ciel_omega/__pycache__/ciel_client.cpython-313.pyc,.pyc,10255,100,0,0,0,0,1,0,0,0,0,0,1,1,0,1
ciel_omega/__pycache__/ciel_inference_surface.cpython-312.pyc,.pyc,10107,101,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ciel_omega/__pycache__/ciel_inference_surface.cpython-313.pyc,.pyc,9968,96,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ciel_omega/__pycache__/ciel_orchestrator.cpython-312.pyc,.pyc,14341,133,0,0,0,0,1,0,0,0,1,0,0,0,0,1
ciel_omega/__pycache__/ciel_orchestrator.cpython-313.pyc,.pyc,14685,135,0,0,0,0,1,0,0,0,1,0,0,0,0,1
ciel_omega/__pycache__/main.cpython-313.pyc,.pyc,411,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ciel_omega/__pycache__/phase_equation_of_motion.cpython-312.pyc,.pyc,39509,582,0,0,0,0,1,0,0,1,1,0,1,1,0,0
ciel_omega/__pycache__/phase_equation_of_motion.cpython-313.pyc,.pyc,38748,592,0,0,0,0,1,0,0,1,1,0,1,1,0,0
