id,path,language,kind,name,qualname,signature,lineno,end_lineno,doc,imports,calls,entrypoint
file:src/AGENT1.md,src/AGENT1.md,md,file,AGENT1.md,src.AGENT1,,1,22,# AGENT1.md,,,False
file:src/CIEL_OMEGA_COMPLETE_SYSTEM/CANONICAL_BUILD_MANIFEST.md,src/CIEL_OMEGA_COMPLETE_SYSTEM/CANONICAL_BUILD_MANIFEST.md,md,file,CANONICAL_BUILD_MANIFEST.md,src.CIEL_OMEGA_COMPLETE_SYSTEM.CANONICAL_BUILD_MANIFEST,,1,79,# CIEL OMEGA COMPLETE SYSTEM,,,False
file:src/CIEL_OMEGA_COMPLETE_SYSTEM/DATA_LAYER_POLICY.md,src/CIEL_OMEGA_COMPLETE_SYSTEM/DATA_LAYER_POLICY.md,md,file,DATA_LAYER_POLICY.md,src.CIEL_OMEGA_COMPLETE_SYSTEM.DATA_LAYER_POLICY,,1,42,# DATA LAYER POLICY,,,False
file:src/CIEL_OMEGA_COMPLETE_SYSTEM/MERGE_MANIFEST.md,src/CIEL_OMEGA_COMPLETE_SYSTEM/MERGE_MANIFEST.md,md,file,MERGE_MANIFEST.md,src.CIEL_OMEGA_COMPLETE_SYSTEM.MERGE_MANIFEST,,1,19,# CIEL/Ω Unified System Merge,,,False
file:src/CIEL_OMEGA_COMPLETE_SYSTEM/README.md,src/CIEL_OMEGA_COMPLETE_SYSTEM/README.md,md,file,README.md,src.CIEL_OMEGA_COMPLETE_SYSTEM.README,,1,303,# CIEL OMEGA COMPLETE SYSTEM,,,False
file:src/CIEL_OMEGA_COMPLETE_SYSTEM/euler_demo_output.json,src/CIEL_OMEGA_COMPLETE_SYSTEM/euler_demo_output.json,json,file,euler_demo_output.json,src.CIEL_OMEGA_COMPLETE_SYSTEM.euler_demo_output,,1,14,======================================================================,,,False
file:src/CIEL_Orbital_Foundation_Packk/00_INDEX (kopia).md,src/CIEL_Orbital_Foundation_Packk/00_INDEX (kopia).md,md,file,00_INDEX (kopia).md,src.CIEL_Orbital_Foundation_Packk.00_INDEX (kopia),,1,36,# CIEL Orbital Foundation Pack v2,,,False
file:src/CIEL_Orbital_Foundation_Packk/00_INDEX.md,src/CIEL_Orbital_Foundation_Packk/00_INDEX.md,md,file,00_INDEX.md,src.CIEL_Orbital_Foundation_Packk.00_INDEX,,1,15,# CIEL Orbital Foundation Pack,,,False
file:src/CIEL_Orbital_Foundation_Packk/00_INDEX.yaml,src/CIEL_Orbital_Foundation_Packk/00_INDEX.yaml,yaml,file,00_INDEX.yaml,src.CIEL_Orbital_Foundation_Packk.00_INDEX,,1,32,pack_name: CIEL_Orbital_Foundation_Pack_v2,,,False
file:src/CIEL_Orbital_Foundation_Packk/01_CIEL_Orbital_Master_Plan.md,src/CIEL_Orbital_Foundation_Packk/01_CIEL_Orbital_Master_Plan.md,md,file,01_CIEL_Orbital_Master_Plan.md,src.CIEL_Orbital_Foundation_Packk.01_CIEL_Orbital_Master_Plan,,1,430,# CIEL Orbital Native System — Master Plan v1,,,False
