concept_id,operator_id,link_type,status
concept:water,inside,operator_hook,draft_seed
concept:water,contains,operator_hook,draft_seed
concept:water,flow,operator_hook,draft_seed
concept:water,with,operator_hook,draft_seed
concept:water,without,operator_hook,draft_seed
concept:fire,transforms,operator_hook,draft_seed
concept:fire,destroys,operator_hook,draft_seed
concept:fire,creates,operator_hook,draft_seed
concept:fire,because,operator_hook,draft_seed
concept:earth,under,operator_hook,draft_seed
concept:earth,on,operator_hook,draft_seed
concept:earth,contains,operator_hook,draft_seed
concept:air,through,operator_hook,draft_seed
concept:air,inside,operator_hook,draft_seed
concept:air,outside,operator_hook,draft_seed
concept:light,reveals,operator_hook,draft_seed
concept:light,through,operator_hook,draft_seed
concept:light,before,operator_hook,draft_seed
concept:dark,hides,operator_hook,draft_seed
concept:dark,not,operator_hook,draft_seed
concept:dark,inside,operator_hook,draft_seed
concept:life,be,operator_hook,draft_seed
concept:life,with,operator_hook,draft_seed
concept:life,before,operator_hook,draft_seed
concept:life,after,operator_hook,draft_seed
concept:death,after,operator_hook,draft_seed
concept:death,not,operator_hook,draft_seed
concept:death,without,operator_hook,draft_seed
concept:body,has_part,operator_hook,draft_seed
concept:body,inside,operator_hook,draft_seed
concept:body,contains,operator_hook,draft_seed
concept:mind,knows,operator_hook,draft_seed
concept:mind,believes,operator_hook,draft_seed
concept:mind,doubts,operator_hook,draft_seed
concept:time,before,operator_hook,draft_seed
concept:time,after,operator_hook,draft_seed
concept:time,when,operator_hook,draft_seed
concept:space,inside,operator_hook,draft_seed
concept:space,outside,operator_hook,draft_seed
concept:space,on,operator_hook,draft_seed
concept:space,under,operator_hook,draft_seed
concept:space,through,operator_hook,draft_seed
concept:motion,through,operator_hook,draft_seed
concept:motion,from,operator_hook,draft_seed
concept:motion,to,operator_hook,draft_seed
concept:motion,after,operator_hook,draft_seed
concept:rest,not,operator_hook,draft_seed
concept:rest,after,operator_hook,draft_seed
concept:rest,before,operator_hook,draft_seed
concept:force,causes,operator_hook,draft_seed
concept:force,transforms,operator_hook,draft_seed
concept:force,through,operator_hook,draft_seed
concept:energy,transforms,operator_hook,draft_seed
concept:energy,has_property,operator_hook,draft_seed
concept:energy,causes,operator_hook,draft_seed
concept:matter,contains,operator_hook,draft_seed
concept:matter,has_property,operator_hook,draft_seed
concept:matter,transforms,operator_hook,draft_seed
concept:information,means,operator_hook,draft_seed
concept:information,contains,operator_hook,draft_seed
concept:information,reveals,operator_hook,draft_seed
concept:truth,is,operator_hook,draft_seed
concept:truth,knows,operator_hook,draft_seed
concept:truth,proves,operator_hook,draft_seed
concept:lie,not,operator_hook,draft_seed
concept:lie,hides,operator_hook,draft_seed
concept:lie,deceives,operator_hook,draft_seed
concept:good,supports,operator_hook,draft_seed
concept:good,with,operator_hook,draft_seed
concept:good,because,operator_hook,draft_seed
concept:harm,harms,operator_hook,draft_seed
concept:harm,without,operator_hook,draft_seed
concept:harm,causes,operator_hook,draft_seed
concept:order,arranges,operator_hook,draft_seed
concept:order,contains,operator_hook,draft_seed
concept:order,because,operator_hook,draft_seed
concept:chaos,not,operator_hook,draft_seed
concept:chaos,disrupts,operator_hook,draft_seed
concept:chaos,through,operator_hook,draft_seed
concept:center,inside,operator_hook,draft_seed
concept:center,around,operator_hook,draft_seed
concept:center,to,operator_hook,draft_seed
concept:boundary,inside,operator_hook,draft_seed
concept:boundary,outside,operator_hook,draft_seed
concept:boundary,contains,operator_hook,draft_seed
concept:self,is,operator_hook,draft_seed
concept:self,has,operator_hook,draft_seed
concept:self,knows,operator_hook,draft_seed
concept:other,with,operator_hook,draft_seed
concept:other,without,operator_hook,draft_seed
concept:other,relation,operator_hook,draft_seed
concept:relation,with,operator_hook,draft_seed
concept:relation,between,operator_hook,draft_seed
concept:relation,maps,operator_hook,draft_seed
concept:memory,after,operator_hook,draft_seed
concept:memory,contains,operator_hook,draft_seed
concept:memory,has_state,operator_hook,draft_seed
concept:love,with,operator_hook,draft_seed
concept:love,cares_for,operator_hook,draft_seed
concept:love,supports,operator_hook,draft_seed
concept:fear,avoids,operator_hook,draft_seed
concept:fear,because,operator_hook,draft_seed
concept:fear,not,operator_hook,draft_seed
concept:trust,believes,operator_hook,draft_seed
concept:trust,with,operator_hook,draft_seed
concept:trust,supports,operator_hook,draft_seed
concept:pain,has_state,operator_hook,draft_seed
concept:pain,caused_by,operator_hook,draft_seed
concept:pain,inside,operator_hook,draft_seed
concept:knowledge,knows,operator_hook,draft_seed
concept:knowledge,proves,operator_hook,draft_seed
concept:knowledge,because,operator_hook,draft_seed
concept:error,not,operator_hook,draft_seed
concept:error,contradicts,operator_hook,draft_seed
concept:error,repairs,operator_hook,draft_seed
