source,relation_type,target,status
concept:water,opposes,concept:fire,draft_seed
concept:water,supports,concept:life,draft_seed
concept:water,has_state,concept:motion,draft_seed
concept:fire,opposes,concept:water,draft_seed
concept:fire,supports,concept:light,draft_seed
concept:fire,transforms,concept:matter,draft_seed
concept:earth,supports,concept:body,draft_seed
concept:earth,anchors,concept:space,draft_seed
concept:air,supports,concept:life,draft_seed
concept:air,contains,concept:motion,draft_seed
concept:light,opposes,concept:dark,draft_seed
concept:light,supports,concept:knowledge,draft_seed
concept:light,reveals,concept:truth,draft_seed
concept:dark,opposes,concept:light,draft_seed
concept:dark,increases,concept:fear,draft_seed
concept:dark,hides,concept:knowledge,draft_seed
concept:life,opposes,concept:death,draft_seed
concept:life,requires,concept:water,draft_seed
concept:life,includes,concept:body,draft_seed
concept:death,opposes,concept:life,draft_seed
concept:death,bounds,concept:time,draft_seed
concept:body,paired_with,concept:mind,draft_seed
concept:body,contains,concept:pain,draft_seed
concept:body,supports,concept:motion,draft_seed
concept:mind,paired_with,concept:body,draft_seed
concept:mind,contains,concept:memory,draft_seed
concept:mind,seeks,concept:truth,draft_seed
concept:time,orders,concept:motion,draft_seed
concept:time,bounds,concept:memory,draft_seed
concept:space,contains,concept:motion,draft_seed
concept:space,bounds,concept:center,draft_seed
concept:space,has_boundary,concept:boundary,draft_seed
concept:motion,opposes,concept:rest,draft_seed
concept:motion,requires,concept:time,draft_seed
concept:motion,occurs_in,concept:space,draft_seed
concept:rest,opposes,concept:motion,draft_seed
concept:rest,supports,concept:order,draft_seed
concept:force,causes,concept:motion,draft_seed
concept:force,acts_on,concept:matter,draft_seed
concept:energy,transforms,concept:matter,draft_seed
concept:energy,supports,concept:motion,draft_seed
concept:matter,paired_with,concept:information,draft_seed
concept:matter,receives,concept:energy,draft_seed
concept:information,opposes,concept:error,draft_seed
concept:information,supports,concept:knowledge,draft_seed
concept:information,patterns,concept:matter,draft_seed
concept:truth,opposes,concept:lie,draft_seed
concept:truth,supports,concept:knowledge,draft_seed
concept:truth,reduces,concept:error,draft_seed
concept:lie,opposes,concept:truth,draft_seed
concept:lie,increases,concept:error,draft_seed
concept:lie,harms,concept:trust,draft_seed
concept:good,opposes,concept:harm,draft_seed
concept:good,supports,concept:trust,draft_seed
concept:good,supports,concept:life,draft_seed
concept:harm,opposes,concept:good,draft_seed
concept:harm,causes,concept:pain,draft_seed
concept:harm,reduces,concept:trust,draft_seed
concept:order,opposes,concept:chaos,draft_seed
concept:order,supports,concept:knowledge,draft_seed
concept:chaos,opposes,concept:order,draft_seed
concept:chaos,increases,concept:error,draft_seed
concept:center,opposes,concept:boundary,draft_seed
concept:center,attracts,concept:relation,draft_seed
concept:boundary,opposes,concept:center,draft_seed
concept:boundary,bounds,concept:space,draft_seed
concept:self,opposes,concept:other,draft_seed
concept:self,stabilizes,concept:identity,draft_seed
concept:self,stores,concept:memory,draft_seed
concept:other,opposes,concept:self,draft_seed
concept:other,requires,concept:relation,draft_seed
concept:relation,connects,concept:self,draft_seed
concept:relation,connects,concept:other,draft_seed
concept:relation,supports,concept:memory,draft_seed
concept:memory,supports,concept:identity,draft_seed
concept:memory,stores,concept:information,draft_seed
concept:love,opposes,concept:fear,draft_seed
concept:love,supports,concept:trust,draft_seed
concept:love,reduces,concept:harm,draft_seed
concept:fear,reduces,concept:trust,draft_seed
concept:fear,increases,concept:pain,draft_seed
concept:fear,responds_to,concept:harm,draft_seed
concept:trust,opposes,concept:fear,draft_seed
concept:trust,supports,concept:relation,draft_seed
concept:trust,requires,concept:truth,draft_seed
concept:pain,caused_by,concept:harm,draft_seed
concept:pain,signals,concept:body,draft_seed
concept:pain,increases,concept:fear,draft_seed
concept:knowledge,requires,concept:truth,draft_seed
concept:knowledge,uses,concept:information,draft_seed
concept:knowledge,reduces,concept:error,draft_seed
concept:error,opposes,concept:knowledge,draft_seed
concept:error,opposes,concept:truth,draft_seed
concept:error,increases,concept:chaos,draft_seed
concept:water,antonym_surface:pl,ogień,surface_seed
concept:water,antonym_surface:pl,susza,surface_seed
concept:water,antonym_surface:en,fire,surface_seed
concept:water,antonym_surface:en,dryness,surface_seed
concept:water,antonym_surface:de,Feuer,surface_seed
concept:water,antonym_surface:de,Trockenheit,surface_seed
concept:water,antonym_surface:fr,feu,surface_seed
concept:water,antonym_surface:fr,sécheresse,surface_seed
concept:water,antonym_surface:es,fuego,surface_seed
concept:water,antonym_surface:es,sequedad,surface_seed
concept:fire,antonym_surface:pl,woda,surface_seed
concept:fire,antonym_surface:pl,zimno,surface_seed
concept:fire,antonym_surface:en,water,surface_seed
concept:fire,antonym_surface:en,cold,surface_seed
concept:fire,antonym_surface:de,Wasser,surface_seed
concept:fire,antonym_surface:de,Kälte,surface_seed
concept:fire,antonym_surface:fr,eau,surface_seed
concept:fire,antonym_surface:fr,froid,surface_seed
concept:fire,antonym_surface:es,agua,surface_seed
concept:fire,antonym_surface:es,frío,surface_seed
concept:earth,antonym_surface:pl,niebo,surface_seed
concept:earth,antonym_surface:pl,powietrze,surface_seed
concept:earth,antonym_surface:en,sky,surface_seed
concept:earth,antonym_surface:en,air,surface_seed
concept:earth,antonym_surface:de,Himmel,surface_seed
concept:earth,antonym_surface:de,Luft,surface_seed
concept:earth,antonym_surface:fr,ciel,surface_seed
concept:earth,antonym_surface:fr,air,surface_seed
concept:earth,antonym_surface:es,cielo,surface_seed
concept:earth,antonym_surface:es,aire,surface_seed
concept:air,antonym_surface:pl,próżnia,surface_seed
concept:air,antonym_surface:pl,ziemia,surface_seed
concept:air,antonym_surface:en,vacuum,surface_seed
concept:air,antonym_surface:en,earth,surface_seed
concept:air,antonym_surface:de,Vakuum,surface_seed
concept:air,antonym_surface:de,Erde,surface_seed
concept:air,antonym_surface:fr,vide,surface_seed
concept:air,antonym_surface:fr,terre,surface_seed
concept:air,antonym_surface:es,vacío,surface_seed
concept:air,antonym_surface:es,tierra,surface_seed
concept:light,antonym_surface:pl,ciemność,surface_seed
concept:light,antonym_surface:pl,mrok,surface_seed
concept:light,antonym_surface:en,darkness,surface_seed
concept:light,antonym_surface:en,shadow,surface_seed
concept:light,antonym_surface:de,Dunkelheit,surface_seed
concept:light,antonym_surface:de,Schatten,surface_seed
concept:light,antonym_surface:fr,obscurité,surface_seed
concept:light,antonym_surface:fr,ombre,surface_seed
concept:light,antonym_surface:es,oscuridad,surface_seed
concept:light,antonym_surface:es,sombra,surface_seed
concept:dark,antonym_surface:pl,światło,surface_seed
concept:dark,antonym_surface:pl,jasność,surface_seed
concept:dark,antonym_surface:en,light,surface_seed
concept:dark,antonym_surface:en,brightness,surface_seed
concept:dark,antonym_surface:de,Licht,surface_seed
concept:dark,antonym_surface:de,Helligkeit,surface_seed
concept:dark,antonym_surface:fr,lumière,surface_seed
concept:dark,antonym_surface:fr,clarté,surface_seed
concept:dark,antonym_surface:es,luz,surface_seed
concept:dark,antonym_surface:es,claridad,surface_seed
concept:life,antonym_surface:pl,śmierć,surface_seed
concept:life,antonym_surface:pl,martwota,surface_seed
concept:life,antonym_surface:en,death,surface_seed
concept:life,antonym_surface:en,lifelessness,surface_seed
concept:life,antonym_surface:de,Tod,surface_seed
concept:life,antonym_surface:de,Leblosigkeit,surface_seed
concept:life,antonym_surface:fr,mort,surface_seed
concept:life,antonym_surface:fr,inertie,surface_seed
concept:life,antonym_surface:es,muerte,surface_seed
concept:life,antonym_surface:es,inercia,surface_seed
concept:death,antonym_surface:pl,życie,surface_seed
concept:death,antonym_surface:pl,narodziny,surface_seed
concept:death,antonym_surface:en,life,surface_seed
concept:death,antonym_surface:en,birth,surface_seed
concept:death,antonym_surface:de,Leben,surface_seed
concept:death,antonym_surface:de,Geburt,surface_seed
concept:death,antonym_surface:fr,vie,surface_seed
concept:death,antonym_surface:fr,naissance,surface_seed
concept:death,antonym_surface:es,vida,surface_seed
concept:death,antonym_surface:es,nacimiento,surface_seed
concept:body,antonym_surface:pl,umysł,surface_seed
concept:body,antonym_surface:pl,duch,surface_seed
concept:body,antonym_surface:en,mind,surface_seed
concept:body,antonym_surface:en,spirit,surface_seed
concept:body,antonym_surface:de,Geist,surface_seed
concept:body,antonym_surface:de,Seele,surface_seed
concept:body,antonym_surface:fr,esprit,surface_seed
concept:body,antonym_surface:fr,âme,surface_seed
concept:body,antonym_surface:es,mente,surface_seed
concept:body,antonym_surface:es,espíritu,surface_seed
concept:mind,antonym_surface:pl,ciało,surface_seed
concept:mind,antonym_surface:pl,materia,surface_seed
concept:mind,antonym_surface:en,body,surface_seed
concept:mind,antonym_surface:en,matter,surface_seed
concept:mind,antonym_surface:de,Körper,surface_seed
concept:mind,antonym_surface:de,Materie,surface_seed
concept:mind,antonym_surface:fr,corps,surface_seed
concept:mind,antonym_surface:fr,matière,surface_seed
concept:mind,antonym_surface:es,cuerpo,surface_seed
concept:mind,antonym_surface:es,materia,surface_seed
concept:time,antonym_surface:pl,bezczas,surface_seed
concept:time,antonym_surface:pl,wieczność,surface_seed
concept:time,antonym_surface:en,timelessness,surface_seed
concept:time,antonym_surface:en,eternity,surface_seed
concept:time,antonym_surface:de,Zeitlosigkeit,surface_seed
concept:time,antonym_surface:de,Ewigkeit,surface_seed
concept:time,antonym_surface:fr,intemporalité,surface_seed
concept:time,antonym_surface:fr,éternité,surface_seed
concept:time,antonym_surface:es,atemporalidad,surface_seed
concept:time,antonym_surface:es,eternidad,surface_seed
concept:space,antonym_surface:pl,punkt,surface_seed
concept:space,antonym_surface:pl,brak miejsca,surface_seed
concept:space,antonym_surface:en,point,surface_seed
concept:space,antonym_surface:en,no-space,surface_seed
concept:space,antonym_surface:de,Punkt,surface_seed
concept:space,antonym_surface:de,Raumlosigkeit,surface_seed
concept:space,antonym_surface:fr,point,surface_seed
concept:space,antonym_surface:fr,absence d’espace,surface_seed
concept:space,antonym_surface:es,punto,surface_seed
concept:space,antonym_surface:es,sin espacio,surface_seed
concept:motion,antonym_surface:pl,spoczynek,surface_seed
concept:motion,antonym_surface:pl,bezruch,surface_seed
concept:motion,antonym_surface:en,rest,surface_seed
concept:motion,antonym_surface:en,stillness,surface_seed
concept:motion,antonym_surface:de,Ruhe,surface_seed
concept:motion,antonym_surface:de,Stillstand,surface_seed
concept:motion,antonym_surface:fr,repos,surface_seed
concept:motion,antonym_surface:fr,immobilité,surface_seed
concept:motion,antonym_surface:es,reposo,surface_seed
concept:motion,antonym_surface:es,quietud,surface_seed
concept:rest,antonym_surface:pl,ruch,surface_seed
concept:rest,antonym_surface:pl,zmiana,surface_seed
concept:rest,antonym_surface:en,motion,surface_seed
concept:rest,antonym_surface:en,change,surface_seed
concept:rest,antonym_surface:de,Bewegung,surface_seed
concept:rest,antonym_surface:de,Veränderung,surface_seed
concept:rest,antonym_surface:fr,mouvement,surface_seed
concept:rest,antonym_surface:fr,changement,surface_seed
concept:rest,antonym_surface:es,movimiento,surface_seed
concept:rest,antonym_surface:es,cambio,surface_seed
concept:force,antonym_surface:pl,słabość,surface_seed
concept:force,antonym_surface:pl,bezsilność,surface_seed
concept:force,antonym_surface:en,weakness,surface_seed
concept:force,antonym_surface:en,powerlessness,surface_seed
concept:force,antonym_surface:de,Schwäche,surface_seed
concept:force,antonym_surface:de,Ohnmacht,surface_seed
concept:force,antonym_surface:fr,faiblesse,surface_seed
concept:force,antonym_surface:fr,impuissance,surface_seed
concept:force,antonym_surface:es,debilidad,surface_seed
concept:force,antonym_surface:es,impotencia,surface_seed
concept:energy,antonym_surface:pl,wyczerpanie,surface_seed
concept:energy,antonym_surface:pl,bezwład,surface_seed
concept:energy,antonym_surface:en,exhaustion,surface_seed
concept:energy,antonym_surface:en,inertia,surface_seed
concept:energy,antonym_surface:de,Erschöpfung,surface_seed
concept:energy,antonym_surface:de,Trägheit,surface_seed
concept:energy,antonym_surface:fr,épuisement,surface_seed
concept:energy,antonym_surface:fr,inertie,surface_seed
concept:energy,antonym_surface:es,agotamiento,surface_seed
concept:energy,antonym_surface:es,inercia,surface_seed
concept:matter,antonym_surface:pl,pustka,surface_seed
concept:matter,antonym_surface:pl,informacja,surface_seed
concept:matter,antonym_surface:en,void,surface_seed
concept:matter,antonym_surface:en,information,surface_seed
concept:matter,antonym_surface:de,Leere,surface_seed
concept:matter,antonym_surface:de,Information,surface_seed
concept:matter,antonym_surface:fr,vide,surface_seed
concept:matter,antonym_surface:fr,information,surface_seed
concept:matter,antonym_surface:es,vacío,surface_seed
concept:matter,antonym_surface:es,información,surface_seed
concept:information,antonym_surface:pl,szum,surface_seed
concept:information,antonym_surface:pl,niewiedza,surface_seed
concept:information,antonym_surface:en,noise,surface_seed
concept:information,antonym_surface:en,ignorance,surface_seed
concept:information,antonym_surface:de,Rauschen,surface_seed
concept:information,antonym_surface:de,Unwissen,surface_seed
concept:information,antonym_surface:fr,bruit,surface_seed
concept:information,antonym_surface:fr,ignorance,surface_seed
concept:information,antonym_surface:es,ruido,surface_seed
concept:information,antonym_surface:es,ignorancia,surface_seed
concept:truth,antonym_surface:pl,kłamstwo,surface_seed
concept:truth,antonym_surface:pl,fałsz,surface_seed
concept:truth,antonym_surface:en,lie,surface_seed
concept:truth,antonym_surface:en,falsehood,surface_seed
concept:truth,antonym_surface:de,Lüge,surface_seed
concept:truth,antonym_surface:de,Falschheit,surface_seed
concept:truth,antonym_surface:fr,mensonge,surface_seed
concept:truth,antonym_surface:fr,fausseté,surface_seed
concept:truth,antonym_surface:es,mentira,surface_seed
concept:truth,antonym_surface:es,falsedad,surface_seed
concept:lie,antonym_surface:pl,prawda,surface_seed
concept:lie,antonym_surface:pl,szczerość,surface_seed
concept:lie,antonym_surface:en,truth,surface_seed
concept:lie,antonym_surface:en,honesty,surface_seed
concept:lie,antonym_surface:de,Wahrheit,surface_seed
