concept_id,canonical_label_en,domain,language,lemma,near_synonyms_seed,antonyms_seed,operator_tags,review_status
concept:eye,eye,body_perception,pl,oko,narząd wzroku,,see; has_part; inside; with,needs_human_validation
concept:eye,eye,body_perception,en,eye,organ of sight,,see; has_part; inside; with,needs_human_validation
concept:eye,eye,body_perception,de,Auge,Sehorgan,,see; has_part; inside; with,needs_human_validation
concept:eye,eye,body_perception,fr,œil,organe de vision,,see; has_part; inside; with,needs_human_validation
concept:eye,eye,body_perception,es,ojo,órgano de visión,,see; has_part; inside; with,needs_human_validation
concept:hand,hand,body_action,pl,ręka,dłoń,,has_part; with; make; give,needs_human_validation
concept:hand,hand,body_action,en,hand,palm; manual organ,,has_part; with; make; give,needs_human_validation
concept:hand,hand,body_action,de,Hand,Handfläche,,has_part; with; make; give,needs_human_validation
concept:hand,hand,body_action,fr,main,main,,has_part; with; make; give,needs_human_validation
concept:hand,hand,body_action,es,mano,mano,,has_part; with; make; give,needs_human_validation
concept:voice,voice,body_expression,pl,głos,brzmienie,,emit; with; about; as,needs_human_validation
concept:voice,voice,body_expression,en,voice,vocal sound,,emit; with; about; as,needs_human_validation
concept:voice,voice,body_expression,de,Stimme,Stimmklang,,emit; with; about; as,needs_human_validation
concept:voice,voice,body_expression,fr,voix,voix,,emit; with; about; as,needs_human_validation
concept:voice,voice,body_expression,es,voz,voz,,emit; with; about; as,needs_human_validation
concept:name,name,identity_symbol,pl,imię,nazwa,,is; as; call,needs_human_validation
concept:name,name,identity_symbol,en,name,label,,is; as; call,needs_human_validation
concept:name,name,identity_symbol,de,Name,Bezeichnung,,is; as; call,needs_human_validation
concept:name,name,identity_symbol,fr,nom,désignation,,is; as; call,needs_human_validation
concept:name,name,identity_symbol,es,nombre,denominación,,is; as; call,needs_human_validation
concept:face,face,body_identity,pl,twarz,oblicze,,see; has_part; as,needs_human_validation
concept:face,face,body_identity,en,face,visage,,see; has_part; as,needs_human_validation
concept:face,face,body_identity,de,Gesicht,Antlitz,,see; has_part; as,needs_human_validation
concept:face,face,body_identity,fr,visage,figure,,see; has_part; as,needs_human_validation
concept:face,face,body_identity,es,rostro,cara,,see; has_part; as,needs_human_validation
concept:blood,blood,body_life,pl,krew,posoka,,inside; flow; with; supports,needs_human_validation
concept:blood,blood,body_life,en,blood,blood,,inside; flow; with; supports,needs_human_validation
concept:blood,blood,body_life,de,Blut,Blut,,inside; flow; with; supports,needs_human_validation
concept:blood,blood,body_life,fr,sang,sang,,inside; flow; with; supports,needs_human_validation
concept:blood,blood,body_life,es,sangre,sangre,,inside; flow; with; supports,needs_human_validation
concept:thought,thought,cognition,pl,myśl,refleksja,,inside; about; think; not,needs_human_validation
concept:thought,thought,cognition,en,thought,reflection,,inside; about; think; not,needs_human_validation
concept:thought,thought,cognition,de,Gedanke,Überlegung,,inside; about; think; not,needs_human_validation
concept:thought,thought,cognition,fr,pensée,réflexion,,inside; about; think; not,needs_human_validation
concept:thought,thought,cognition,es,pensamiento,reflexión,,inside; about; think; not,needs_human_validation
concept:idea,idea,cognition,pl,idea,pomysł,,inside; about; think; not,needs_human_validation
concept:idea,idea,cognition,en,idea,notion,,inside; about; think; not,needs_human_validation
concept:idea,idea,cognition,de,Idee,Einfall,,inside; about; think; not,needs_human_validation
concept:idea,idea,cognition,fr,idée,notion,,inside; about; think; not,needs_human_validation
concept:idea,idea,cognition,es,idea,noción,,inside; about; think; not,needs_human_validation
concept:question,question,cognition_dialogue,pl,pytanie,zapytanie,odpowiedź,ask; answer; how; because,needs_human_validation
concept:question,question,cognition_dialogue,en,question,query,answer,ask; answer; how; because,needs_human_validation
concept:question,question,cognition_dialogue,de,Frage,Anfrage,Antwort,ask; answer; how; because,needs_human_validation
concept:question,question,cognition_dialogue,fr,question,interrogation,réponse,ask; answer; how; because,needs_human_validation
concept:question,question,cognition_dialogue,es,pregunta,interrogación,respuesta,ask; answer; how; because,needs_human_validation
concept:answer,answer,cognition_dialogue,pl,odpowiedź,odzew,pytanie,ask; answer; how; because,needs_human_validation
concept:answer,answer,cognition_dialogue,en,answer,reply,question,ask; answer; how; because,needs_human_validation
concept:answer,answer,cognition_dialogue,de,Antwort,Erwiderung,Frage,ask; answer; how; because,needs_human_validation
concept:answer,answer,cognition_dialogue,fr,réponse,réplique,question,ask; answer; how; because,needs_human_validation
concept:answer,answer,cognition_dialogue,es,respuesta,contestación,pregunta,ask; answer; how; because,needs_human_validation
concept:reason,reason,cognition_logic,pl,rozum,racjonalność,,because; if_then; not; prove,needs_human_validation
concept:reason,reason,cognition_logic,en,reason,rationality,,because; if_then; not; prove,needs_human_validation
concept:reason,reason,cognition_logic,de,Vernunft,Rationalität,,because; if_then; not; prove,needs_human_validation
concept:reason,reason,cognition_logic,fr,raison,rationalité,,because; if_then; not; prove,needs_human_validation
concept:reason,reason,cognition_logic,es,razón,racionalidad,,because; if_then; not; prove,needs_human_validation
concept:doubt,doubt,cognition_epistemic,pl,wątpliwość,niepewność,pewność,maybe; not; question; scope,needs_human_validation
concept:doubt,doubt,cognition_epistemic,en,doubt,uncertainty,certainty,maybe; not; question; scope,needs_human_validation
concept:doubt,doubt,cognition_epistemic,de,Zweifel,Unsicherheit,Gewissheit,maybe; not; question; scope,needs_human_validation
concept:doubt,doubt,cognition_epistemic,fr,doute,incertitude,certitude,maybe; not; question; scope,needs_human_validation
concept:doubt,doubt,cognition_epistemic,es,duda,incertidumbre,certeza,maybe; not; question; scope,needs_human_validation
