concept_id,canonical_label_en,operator_hook
concept:eye,eye,see
concept:eye,eye,has_part
concept:eye,eye,inside
concept:eye,eye,with
concept:hand,hand,has_part
concept:hand,hand,with
concept:hand,hand,make
concept:hand,hand,give
concept:voice,voice,emit
concept:voice,voice,with
concept:voice,voice,about
concept:voice,voice,as
concept:name,name,is
concept:name,name,as
concept:name,name,call
concept:face,face,see
concept:face,face,has_part
concept:face,face,as
concept:blood,blood,inside
concept:blood,blood,flow
concept:blood,blood,with
concept:blood,blood,supports
concept:thought,thought,inside
concept:thought,thought,about
concept:thought,thought,think
concept:thought,thought,not
concept:idea,idea,inside
concept:idea,idea,about
concept:idea,idea,think
concept:idea,idea,not
concept:question,question,ask
concept:question,question,answer
concept:question,question,how
concept:question,question,because
concept:answer,answer,ask
concept:answer,answer,answer
concept:answer,answer,how
concept:answer,answer,because
concept:reason,reason,because
concept:reason,reason,if_then
concept:reason,reason,not
concept:reason,reason,prove
concept:doubt,doubt,maybe
concept:doubt,doubt,not
concept:doubt,doubt,question
concept:doubt,doubt,scope
concept:person,person,is
concept:person,person,has
concept:person,person,with
concept:person,person,as
concept:child,child,has
concept:child,child,from
concept:child,child,to
concept:child,child,care
concept:parent,parent,has
concept:parent,parent,from
concept:parent,parent,to
concept:parent,parent,care
concept:friend,friend,with
concept:friend,friend,against
concept:friend,friend,trust
concept:friend,friend,not
concept:stranger,stranger,with
concept:stranger,stranger,against
concept:stranger,stranger,trust
concept:stranger,stranger,not
concept:enemy,enemy,with
concept:enemy,enemy,against
concept:enemy,enemy,trust
concept:enemy,enemy,not
concept:house,house,inside
concept:house,house,contains
concept:house,house,with
concept:house,house,boundary
concept:door,door,between
concept:door,door,through
concept:door,door,inside_outside
concept:door,door,not
concept:road,road,from
concept:road,road,to
concept:road,road,through
concept:road,road,path
concept:city,city,inside
concept:city,city,contains
concept:city,city,with
concept:city,city,boundary
concept:country,country,inside
concept:country,country,contains
concept:country,country,law
concept:country,country,border
concept:border,border,between
concept:border,border,through
concept:border,border,inside_outside
concept:border,border,not
concept:gift,gift,give
concept:gift,gift,to
concept:gift,gift,have
concept:gift,gift,for
concept:debt,debt,give
concept:debt,debt,to
concept:debt,debt,have
concept:debt,debt,for
concept:promise,promise,will
concept:promise,promise,must
concept:promise,promise,promise
concept:promise,promise,to
concept:law,law,must
concept:law,law,not
concept:law,law,if_then
concept:law,law,because
concept:work,work,do
concept:work,work,make
concept:work,work,with
concept:work,work,for
concept:money,money,give
concept:money,money,to
concept:money,money,have
concept:money,money,for
concept:word,word,is
concept:word,word,as
concept:word,word,means
concept:word,word,contains
concept:sign,sign,means
concept:sign,sign,as
concept:sign,sign,points_to
concept:sign,sign,signifies
concept:sound,sound,emit
concept:sound,sound,hear
concept:sound,sound,with
concept:sound,sound,sound
concept:silence,silence,not
concept:silence,silence,without
concept:silence,silence,state_be
concept:silence,silence,silence
concept:story,story,tell
concept:story,story,about
concept:story,story,before_after
concept:story,story,memory
concept:song,song,sing
concept:song,song,with
concept:song,song,about
concept:song,song,sound
