source,relation_type,target,status
concept:eye,part_of,concept:body,draft_seed
concept:eye,enables,concept:knowledge,draft_seed
concept:hand,part_of,concept:body,draft_seed
concept:hand,enables,concept:work,draft_seed
concept:voice,uses,concept:sound,draft_seed
concept:voice,expresses,concept:self,draft_seed
concept:name,symbol_of,concept:self,draft_seed
concept:name,uses,concept:word,draft_seed
concept:face,part_of,concept:body,draft_seed
concept:face,signals,concept:identity,draft_seed
concept:blood,supports,concept:life,draft_seed
concept:blood,inside,concept:body,draft_seed
concept:thought,inside,concept:mind,draft_seed
concept:thought,relates_to,concept:idea,draft_seed
concept:idea,inside,concept:mind,draft_seed
concept:idea,can_transform_into,concept:work,draft_seed
concept:question,seeks,concept:answer,draft_seed
concept:question,marks,concept:unknown,draft_seed
concept:answer,responds_to,concept:question,draft_seed
concept:answer,supports,concept:knowledge,draft_seed
concept:reason,supports,concept:knowledge,draft_seed
concept:reason,opposes,concept:chaos,draft_seed
concept:doubt,opposes,concept:proof,draft_seed
concept:doubt,relates_to,concept:error,draft_seed
concept:person,is_a,concept:human,draft_seed
concept:person,has,concept:self,draft_seed
concept:child,relation_to,concept:parent,draft_seed
concept:child,stage_of,concept:life,draft_seed
concept:parent,relation_to,concept:child,draft_seed
concept:parent,supports,concept:care,draft_seed
concept:friend,supports,concept:trust,draft_seed
concept:friend,opposes,concept:enemy,draft_seed
concept:stranger,is_other,concept:self,draft_seed
concept:stranger,may_become,concept:friend,draft_seed
concept:enemy,opposes,concept:friend,draft_seed
concept:enemy,supports,concept:conflict,draft_seed
concept:house,contains,concept:door,draft_seed
concept:house,relates_to,concept:home,draft_seed
concept:door,part_of,concept:house,draft_seed
concept:door,enables,concept:road,draft_seed
concept:road,enables,concept:motion,draft_seed
concept:road,connects,concept:city,draft_seed
concept:city,contains,concept:house,draft_seed
concept:city,part_of,concept:country,draft_seed
concept:country,contains,concept:city,draft_seed
concept:country,bounded_by,concept:border,draft_seed
concept:border,relates_to,concept:country,draft_seed
concept:border,opposes,concept:center,draft_seed
concept:gift,opposes,concept:debt,draft_seed
concept:gift,supports,concept:care,draft_seed
concept:debt,opposes,concept:gift,draft_seed
concept:debt,requires,concept:promise,draft_seed
concept:promise,supports,concept:trust,draft_seed
concept:promise,can_create,concept:debt,draft_seed
concept:law,supports,concept:order,draft_seed
concept:law,constrains,concept:freedom,draft_seed
concept:work,uses,concept:hand,draft_seed
concept:work,relates_to,concept:money,draft_seed
concept:money,relates_to,concept:work,draft_seed
concept:money,can_create,concept:debt,draft_seed
concept:word,part_of,concept:language,draft_seed
concept:word,contains,concept:meaning,draft_seed
concept:sign,symbol_of,concept:meaning,draft_seed
concept:sign,relates_to,concept:name,draft_seed
concept:sound,supports,concept:voice,draft_seed
concept:sound,opposes,concept:silence,draft_seed
concept:silence,opposes,concept:sound,draft_seed
concept:silence,relates_to,concept:rest,draft_seed
concept:story,contains,concept:event,draft_seed
concept:story,supports,concept:memory,draft_seed
concept:song,uses,concept:sound,draft_seed
