concept_id,language_panel_count,operator_hook_count,relation_degree,has_operator_hooks,is_isolated
concept:air,5,3,12,1,0
concept:answer,5,4,3,1,0
concept:blood,5,4,2,1,0
concept:body,5,3,21,1,0
concept:border,5,4,3,1,0
concept:boundary,5,3,14,1,0
concept:center,5,3,15,1,0
concept:chaos,5,3,15,1,0
concept:child,5,4,3,1,0
concept:city,5,4,4,1,0
concept:country,5,4,4,1,0
concept:dark,5,3,14,1,0
concept:death,5,3,13,1,0
concept:debt,5,4,5,1,0
concept:door,5,4,3,1,0
concept:doubt,5,4,2,1,0
concept:earth,5,3,12,1,0
concept:enemy,5,4,3,1,0
concept:energy,5,3,13,1,0
concept:error,5,3,19,1,0
concept:eye,5,4,2,1,0
concept:face,5,3,2,1,0
concept:fear,5,3,17,1,0
concept:fire,5,4,14,1,0
concept:force,5,3,12,1,0
concept:friend,5,4,4,1,0
concept:gift,5,4,3,1,0
concept:good,5,3,14,1,0
concept:hand,5,4,3,1,0
concept:harm,5,3,17,1,0
concept:house,5,4,4,1,0
concept:idea,5,4,3,1,0
concept:information,5,3,16,1,0
concept:knowledge,5,3,22,1,0
concept:law,5,4,2,1,0
concept:lie,5,3,14,1,0
concept:life,5,4,19,1,0
concept:light,5,3,15,1,0
concept:love,5,3,13,1,0
concept:matter,5,3,16,1,0
concept:memory,5,3,17,1,0
concept:mind,5,3,16,1,0
concept:money,5,4,3,1,0
concept:motion,5,4,22,1,0
concept:name,5,3,3,1,0
concept:order,5,3,15,1,0
concept:other,5,3,14,1,0
concept:pain,5,3,16,1,0
concept:parent,5,4,3,1,0
concept:person,5,4,2,1,0
concept:promise,5,4,3,1,0
concept:question,5,4,3,1,0
concept:reason,5,4,2,1,0
concept:relation,5,3,16,1,0
concept:rest,5,3,14,1,0
concept:road,5,4,3,1,0
concept:self,5,3,19,1,0
concept:sign,5,4,2,1,0
concept:silence,5,4,3,1,0
concept:song,5,4,1,1,0
concept:sound,5,4,5,1,0
concept:space,5,5,16,1,0
concept:story,5,4,2,1,0
concept:stranger,5,4,2,1,0
concept:thought,5,4,2,1,0
concept:time,5,3,14,1,0
concept:trust,5,3,20,1,0
concept:truth,5,3,19,1,0
concept:voice,5,4,3,1,0
concept:water,5,5,15,1,0
concept:word,5,4,3,1,0
concept:work,5,4,5,1,0
