source_language,target_language,grammar_gauge_distance,status
pl,pl,0.0,diagnostic_seed
pl,en,1.624808,diagnostic_seed
pl,de,1.031988,diagnostic_seed
pl,fr,1.428286,diagnostic_seed
pl,es,1.222702,diagnostic_seed
en,pl,1.624808,diagnostic_seed
en,en,0.0,diagnostic_seed
en,de,1.048809,diagnostic_seed
en,fr,0.707107,diagnostic_seed
en,es,0.877496,diagnostic_seed
de,pl,1.031988,diagnostic_seed
de,en,1.048809,diagnostic_seed
de,de,0.0,diagnostic_seed
de,fr,0.663325,diagnostic_seed
de,es,0.655744,diagnostic_seed
fr,pl,1.428286,diagnostic_seed
fr,en,0.707107,diagnostic_seed
fr,de,0.663325,diagnostic_seed
fr,fr,0.0,diagnostic_seed
fr,es,0.380789,diagnostic_seed
es,pl,1.222702,diagnostic_seed
es,en,0.877496,diagnostic_seed
es,de,0.655744,diagnostic_seed
es,fr,0.380789,diagnostic_seed
es,es,0.0,diagnostic_seed
