relation_type,edge_count,share
antonym_surface:pl,72,0.137143
antonym_surface:en,72,0.137143
antonym_surface:de,72,0.137143
antonym_surface:fr,72,0.137143
antonym_surface:es,72,0.137143
opposes,32,0.060952
supports,28,0.053333
contains,9,0.017143
relates_to,8,0.015238
increases,6,0.011429
requires,6,0.011429
part_of,6,0.011429
reduces,5,0.009524
uses,5,0.009524
bounds,4,0.007619
enables,4,0.007619
paired_with,3,0.005714
connects,3,0.005714
inside,3,0.005714
transforms,2,0.00381
seeks,2,0.00381
causes,2,0.00381
stores,2,0.00381
responds_to,2,0.00381
signals,2,0.00381
symbol_of,2,0.00381
relation_to,2,0.00381
can_create,2,0.00381
has_state,1,0.001905
anchors,1,0.001905
reveals,1,0.001905
hides,1,0.001905
includes,1,0.001905
orders,1,0.001905
has_boundary,1,0.001905
occurs_in,1,0.001905
acts_on,1,0.001905
receives,1,0.001905
patterns,1,0.001905
harms,1,0.001905
attracts,1,0.001905
stabilizes,1,0.001905
caused_by,1,0.001905
expresses,1,0.001905
can_transform_into,1,0.001905
marks,1,0.001905
is_a,1,0.001905
has,1,0.001905
stage_of,1,0.001905
is_other,1,0.001905
may_become,1,0.001905
bounded_by,1,0.001905
constrains,1,0.001905
