operator_id,arity_num,has_dual,logic,spatial,temporal,query,path,phase
op:core:be,3,0,0,0,0,0,0,0
op:core:have,2,0,0,0,0,0,0,0
op:core:contain,2,1,0,1,0,0,0,0
op:core:inside,2,1,0,1,0,0,0,0
op:core:outside,2,1,0,1,0,0,0,0
op:core:on,2,1,0,1,0,0,0,0
op:core:under,2,1,0,1,0,0,0,0
op:core:above,2,1,0,1,0,0,0,0
op:core:before,2,1,0,0,1,0,0,0
op:core:after,2,1,0,0,1,0,0,0
op:core:with,2,1,0,0,0,0,0,0
op:core:without,2,1,0,0,0,0,0,0
op:core:from,2,1,0,0,0,0,1,0
op:core:to,2,1,0,0,0,0,1,0
op:core:through,2,0,0,0,0,0,1,0
op:core:and,3,1,1,0,0,0,0,0
op:core:or,3,1,1,0,0,0,0,0
op:core:not,1,0,1,0,0,0,0,1
op:core:if_then,2,0,1,0,0,0,0,0
op:core:because,2,0,0,0,0,0,0,0
op:core:how,3,0,0,0,0,1,0,0
op:core:where,1,0,0,0,0,1,0,0
op:core:when,1,0,0,0,0,1,0,0
op:core:like_as,2,0,0,0,0,0,0,0
